@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
2071.7,37.9567,-119.1194,4,Low
2071.7,37.9567,-119.1194,5,Low
2071.7,37.9567,-119.1194,6,Medium
2071.7,37.9567,-119.1194,7,High
2071.7,37.9567,-119.1194,8,Low
2071.7,37.9567,-119.1194,9,Medium
2071.7,37.9567,-119.1194,10,Low
2071.7,37.9567,-119.1194,11,Low
2071.7,37.9567,-119.1194,12,None
2071.7,37.9567,-119.1194,1,Low
2071.7,37.9567,-119.1194,2,Low
2071.7,37.9567,-119.1194,3,Low
2071.7,37.9567,-119.1194,4,Low
2071.7,37.9567,-119.1194,5,Medium
2071.7,37.9567,-119.1194,6,Medium
2071.7,37.9567,-119.1194,7,High
2071.7,37.9567,-119.1194,8,High
2071.7,37.9567,-119.1194,9,Medium
2071.7,37.9567,-119.1194,10,Medium
2071.7,37.9567,-119.1194,11,Low
2071.7,37.9567,-119.1194,12,Low
2071.7,37.9567,-119.1194,1,None
2071.7,37.9567,-119.1194,2,Low
2071.7,37.9567,-119.1194,3,Low
2071.7,37.9567,-119.1194,4,Low
2071.7,37.9567,-119.1194,5,Medium
2071.7,37.9567,-119.1194,6,Medium
2071.7,37.9567,-119.1194,7,High
2071.7,37.9567,-119.1194,8,High
2071.7,37.9567,-119.1194,9,Medium
2071.7,37.9567,-119.1194,10,Low
2071.7,37.9567,-119.1194,11,Low
2071.7,37.9567,-119.1194,12,Low
2071.7,37.9567,-119.1194,1,Low
2071.7,37.9567,-119.1194,2,Low
